Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 R,2023 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Puebla,3.221425127696,3.193699399343,3.281757165681,3.277881912141,3.331188885084,3.298068193708,3.259717140755,3.338370347577,3.401016194599,3.471427864567,3.386559658207,3.356336347081,3.348105674659,3.357945195636,3.523408308615,3.513949562459,3.558343585768,3.476268162665,3.39620555475,3.402288466684,3.400532724699
Querétaro,2.019146873173,2.076155690253,2.129464835465,2.153088206571,2.228821840345,2.209598482154,2.247633057355,2.339505743361,2.451053961819,2.445610221968,2.403251156524,2.434826223338,2.512569142306,2.478076158938,2.494464473788,2.528750818107,2.529337506523,2.50845293255,2.470323778264,2.427422748369,2.449328718046
Quintana Roo,1.098010996471,1.149085171699,1.163552992427,1.181182886252,1.25376973444,1.305137764192,1.268869454935,1.268704631325,1.28970811695,1.301732613145,1.331253638624,1.347345593756,1.393238018131,1.45974422329,1.506243007256,1.56076358359,1.564494136598,1.32639010955,1.4208268521,1.46925874072,1.610420154194
San Luis Potosí,1.793916318626,1.90358004068,1.938055749921,1.902131353802,1.889282605936,1.941764822277,1.944097617435,1.9584885805,2.00052228599,2.03163998086,2.072762925012,2.066042506168,2.099096410826,2.173529141407,2.278633509246,2.307166136841,2.219076037799,2.26666245355,2.205489036551,2.19487591815,2.295652518184
Sinaloa,2.074471646145,2.137411643859,2.081347907541,2.072963174606,2.131902865694,2.211697565927,2.281737863928,2.196863798735,2.175478930016,2.167144212325,2.143927741709,2.091447866208,2.121645620284,2.18055710733,2.187780750791,2.182740851935,2.169040377789,2.194626653879,2.16805247928,2.127419520339,2.064681762439
Sonora,2.853819069675,2.877347554477,2.954379825662,3.053303922812,3.033614899553,3.04895636853,2.997715050504,2.962847292371,3.119013049653,3.16346007195,3.266251695797,3.242500001264,3.323534325613,3.40316089665,3.309282743584,3.234927418621,3.251857173761,3.313276525528,3.251166909307,3.254830822458,3.300021394126
Tabasco,2.212809330953,2.216195466291,2.340357777101,2.410049509022,2.421440473726,2.496286639473,2.731944418797,2.726877749536,2.735898636188,2.76324684503,2.749213824676,2.671685124034,2.419434800239,2.289424162366,2.1188102502,1.950497080895,1.851490658038,2.105854017247,2.330355466355,2.627179195029,2.617894801922
Tamaulipas,3.253314996501,3.285769166494,3.372412639124,3.312434448776,3.313153543228,3.35742242705,3.289860293645,3.195972929222,3.112734518525,3.141348989587,3.130878562479,3.088290992335,3.117860306215,3.050507833864,2.99104269346,3.028099289619,3.126077307191,3.132768547541,3.097777556306,3.0844075979,2.984134245039
Tlaxcala,0.623837726836,0.628317398858,0.591530587974,0.590943493079,0.583872113458,0.586249888932,0.596701080534,0.605890634845,0.605248026695,0.598794913094,0.589804128797,0.586065584347,0.599321215546,0.597967019238,0.607025963036,0.611138492951,0.614062255672,0.612069072227,0.611896447232,0.604108352563,0.593517543457
Veracruz de Ignacio de la Llave,4.982326953658,5.022928910468,4.969372999554,5.000499318912,5.058463961526,4.957237347049,5.202476034335,5.117572204204,5.036269105746,5.036079828724,4.946282951459,4.82722823451,4.735501717151,4.552450234897,4.355894569637,4.259914139767,4.373971315248,4.400792702986,4.391811363545,4.292604886696,4.259039534542
Yucatán,1.327013499218,1.332054160284,1.364663618787,1.363942870705,1.366197082844,1.374575006921,1.424615795265,1.407602834374,1.390678183278,1.391191821311,1.392310314942,1.404291299127,1.408500552931,1.44416551601,1.474534542233,1.508883958301,1.519100750869,1.511233283857,1.532417962862,1.520610015522,1.552225971759
Zacatecas,0.795991247692,0.790167469499,0.793887798267,0.806001704878,0.817214503142,0.842701565747,0.939994376744,0.980666265622,0.948209546766,0.934574806974,0.90304200971,0.948519251392,0.938446818626,0.930907310758,0.930309328305,0.944663634073,0.912503124742,0.954434470134,0.94678009008,0.926971403102,0.912553482228
Contribución a la variación nacional en valores constantes,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,3.56544086222,2.113247235577,4.805013537019,2.077863883353,0.943331966922,-6.295250655299,4.971334683447,3.444045065322,3.553210641646,0.852101620043,2.503763460764,2.70232338096,1.772493375021,1.871728454483,1.972082115145,-0.392690442942,-8.35403460381,6.048483354349,3.710989022641,3.295390893875
Aguascalientes,NA,0.032559006034,0.017510342198,0.077487075938,0.094630876211,-0.003056398035,-0.080777326886,0.093721424142,0.052704303717,0.05888477985,0.041313834652,0.119775244385,0.075548290476,0.056404490984,0.029417752881,0.057715914053,0.005923301172,-0.092321773247,0.036735210519,-0.002738643988,0.08082352162
Baja California,NA,0.079733546651,0.105372752995,0.29522899437,0.030648218601,-0.108931407235,-0.478995751244,0.142390461437,0.063581614865,0.132536784798,0.034057271948,0.124770074323,0.153701155024,0.146979505379,0.149992119156,0.0641787934,0.062578431036,-0.225286584316,0.256549099872,0.097926983105,0.13114152878
Baja California Sur,NA,0.04484490436,0.037680928767,0.047423472061,0.054740623637,0.022412685225,-0.037273040814,0.021947877352,0.031269717015,0.011121785498,-0.009536233926,0.0110391862,0.037986983454,0.030709142174,0.033040832068,0.058347620671,-0.027949890924,-0.107672742056,0.086693890116,0.030146575162,0.012501859127
Campeche,NA,0.062486129657,-0.065979851894,-0.138358523393,-0.311718429099,-0.341329286809,-0.365757549823,-0.123603415335,-0.092349513016,-0.098082815665,0.005979346235,-0.030189220692,0.064306256868,-0.162109712053,-0.290340124231,-0.13107159029,-0.093594898079,-0.17211470456,-0.049435719284,-0.07239580976,0.146827954465
Coahuila de Zaragoza,NA,0.070956094865,0.069778927901,0.24982931608,0.108102378867,-0.064284472177,-0.778698099789,0.664695488215,0.247270149808,0.220173801824,-0.02880885938,0.17693059901,-0.023179032282,0.017567613708,0.171277611092,0.103221511784,-0.052407249639,-0.45589232532,0.353374003166,0.060781643488,-0.025493954847
Colima,NA,0.005243954012,0.002439216814,0.038102775686,0.036303499047,0.012107993168,-0.029477315395,0.037188974498,0.040185640806,0.009248604064,-0.008684556643,0.006267350222,0.026669746995,-0.001416340805,0.04148435702,0.014544191624,0.030200453104,-0.053844073963,-0.002156676061,0.003341023896,0.024928244634
Chiapas,NA,-0.059119833785,0.033500825268,0.057160022187,0.017959681493,0.061646482546,-0.023127701451,0.122922649183,0.026315608191,0.043110898999,-0.044646065026,0.064773714954,-0.048010385058,0.025878804806,-0.043761716293,-0.025873158862,-0.019381167574,-0.04847640332,0.074300514113,0.089153068049,0.023565958149
Chihuahua,NA,0.101054275285,0.078912647734,0.2294681511,0.144833524662,0.159904031267,-0.34440580916,0.111303151537,0.071679105725,0.237682998463,0.097821716835,0.095035648065,0.227645233274,0.116341846892,0.089354038936,0.008597923882,0.055998178359,-0.24147104803,0.169248560931,0.278756038499,0.119295371446
Ciudad de México,NA,0.66792299331,0.154999424731,0.756236862966,0.041527624468,0.202289135388,-0.854207689908,0.610304412041,0.525792893624,0.484464773783,0.14478650313,0.224263944337,0.410527694958,0.296692397078,0.322040177629,0.203536532864,-0.060626743758,-1.60313243065,0.916180791148,0.660348969492,0.640510478427
Durango,NA,0.064568236929,-0.038163701329,0.029646101883,0.034589892718,0.064672901855,-0.022991413828,0.025288576372,0.05764337334,0.062456728926,0.062941241499,0.038321714681,-0.034357921544,0.022270524963,-0.003160578735,0.018282413347,0.001841370185,-0.096279017864,0.077075891595,-0.011888263529,0.038065614713
Guanajuato,NA,0.107295893012,0.018913977503,0.199991950289,0.043084174958,0.099060466013,-0.177469785269,0.265722284478,0.20908012745,0.180830530156,0.180127082815,0.220103712109,0.21180537952,0.168760148217,0.217536361482,0.022067553749,-0.089091668383,-0.330611899593,0.294843445041,0.113030339264,0.081623278331
Guerrero,NA,0.063436495479,0.039109734661,0.039281147728,0.036547359514,0.004102414106,-0.029160855143,0.044400156053,0.005223491553,0.01342761679,0.024003196617,0.094290602409,-0.027395359075,-0.00298071717,-0.020856445855,0.039128023156,-0.002887564702,-0.112860097587,0.061917813266,0.02760026326,0.01491217016
Hidalgo,NA,0.146546718286,-0.023141870598,-0.023169670205,0.050887871212,0.054707634554,-0.076609567231,0.021106867361,0.03932375632,0.063782428554,-0.000423477811,0.083699015359,0.07189204416,0.019927673003,-0.008841424008,0.009371428332,-0.038731669222,-0.184067425115,0.122439179269,0.168481352531,0.04768958478
Jalisco,NA,0.194030818185,0.15079930236,0.344177798848,0.202229005928,0.137740301313,-0.452683816178,0.408210771605,0.19649444958,0.266497692488,0.118184540096,0.246631025784,0.265438175857,0.217192531001,0.136297912162,0.194184839565,0.053538426909,-0.593455879745,0.399975028979,0.363705388966,0.152305860305
México,NA,0.188715749731,0.271340345906,0.493584815464,0.225436140862,0.054487660528,-0.537805910305,0.607691432522,0.395060151263,0.282479429502,0.055573086011,0.199688642639,0.18333751416,0.223808845478,0.461379154869,0.327579322036,-0.141255621492,-0.723597247587,0.580633954399,0.234585956884,0.235053893324
Michoacán de Ocampo,NA,0.064075838278,0.007066241237,0.126036931718,0.071578649809,0.061180481495,-0.099915156806,0.058301631415,0.098430025187,0.04586950038,0.00788524477,0.123445898068,0.059122366461,0.078290769808,0.081572919987,0.09853670866,0.00774152094,-0.143011065674,0.126314582657,0.098896705976,0.111772525994
Morelos,NA,0.036563784336,0.060248002564,-0.017341837887,0.025154233161,-0.028884559376,-0.041122075279,0.050727508919,0.043084705449,0.03337506805,0.046607927092,0.007026873913,0.027328541039,0.037668072846,0.013053151462,-0.017538391239,-0.014719131891,-0.102555730306,0.067738029833,0.000698509634,0.022621952893
Nayarit,NA,0.093894399104,0.03680954409,0.001030701116,-0.010729099427,0.048211336951,-0.042210654324,0.013492938407,0.018539127688,0.008090967255,0.010099555565,0.00378047959,0.006891055762,0.022551579566,0.010846735565,0.00272968101,0.005814344895,-0.060452502594,0.060550314888,0.028264510737,0.000685314478
Nuevo León,NA,0.256131083976,0.179927921712,0.532096635335,0.316680467147,-0.003725613468,-0.590040230687,0.514354891163,0.245037146719,0.303343247883,-0.048105622415,0.255061601564,0.274804966073,0.069078119861,0.280931956706,0.42044129996,0.040529034174,-0.729430055061,0.55600368677,0.268206588305,0.273575835058
Oaxaca,NA,0.039011978184,0.03788002781,0.02012972423,-0.009058192244,0.049606861218,-0.013847820449,-0.029747604587,0.029723703046,0.002738947498,0.052362286377,-0.012663736793,0.028468274047,-0.00715452582,-0.178449741035,0.10512090004,-0.065335713117,-0.068318349146,0.156351404553,0.128661026723,0.130931018351
Puebla,NA,0.086143735047,0.15740940892,0.153627416066,0.122524543672,-0.002008959814,-0.243558417617,0.244614769773,0.179778377442,0.19375881427,-0.056011276649,0.053811411953,0.082245970043,0.069358877106,0.23141174886,0.0598392247,0.030420748121,-0.372484068333,0.125356319744,0.132341463451,0.110305103767
Querétaro,NA,0.131032920424,0.098310001979,0.127079550896,0.122045517818,0.001620490632,-0.103459559571,0.208177346448,0.195963621478,0.081453942809,-0.021880923406,0.092537356128,0.145640662363,0.009430752376,0.063077916193,0.08415538694,-0.009345778242,-0.230441599979,0.111287968242,0.04718036183,0.102620925213
Quintana Roo,NA,0.092044127481,0.039056572175,0.074385891407,0.09863847668,0.063679811494,-0.116146821934,0.062906729758,0.065421614384,0.058277797931,0.040864659302,0.049826301798,0.083542221091,0.092380074809,0.074691562927,0.085300115825,-0.002413065947,-0.348911115781,0.180375218193,0.102955919203,0.194231052588
San Luis Potosí,NA,0.17753474267,0.0754316188,0.055473272922,0.026407973058,0.070799504632,-0.120053022844,0.111753985139,0.110932594561,0.103306142871,0.058784990615,0.045008398509,0.089778277757,0.112958390617,0.147754199605,0.074031838346,-0.096804198565,-0.141771349969,0.072225220259,0.070838485982,0.176427324073
Sinaloa,NA,0.139148145858,-0.012079709199,0.091221428223,0.103237730762,0.100658350385,-0.073600819831,0.024339386782,0.053539606017,0.068668481082,-0.004948027597,-0.000114968026,0.087531479734,0.097561717312,0.048172958295,0.038005543105,-0.022218088412,-0.157753594,0.104560118724,0.038315345924,0.005301576887
Sonora,NA,0.126118610258,0.139465621179,0.245635763967,0.043345365099,0.044103249059,-0.239954994387,0.112425296931,0.263585972305,0.156851422218,0.130623407461,0.057432835714,0.170846969505,0.139947372471,-0.031937366315,-0.010559899902,0.0041600228,-0.215372915695,0.134536673111,0.124450327677,0.153939176186
Tabasco,NA,0.08240327408,0.173619856837,0.185494937078,0.061705201764,0.098394435603,0.063675030397,0.130495550077,0.103246468624,0.125532189795,0.009393075184,-0.01063602472,-0.186869371501,-0.089430746268,-0.130955537817,-0.129847765216,-0.106277049723,0.078439585902,0.365452611588,0.394318060207,0.076985473807
Tamaulipas,NA,0.149606326493,0.157910889499,0.099184733321,0.069561915327,0.07594052284,-0.274667085099,0.064995146281,0.023965568885,0.140233217652,0.016207839844,0.034735931284,0.11382398192,-0.013282423091,-0.003480943225,0.096773200678,0.085702210748,-0.25502132816900003,0.152377568613,0.101092068966,-0.001934464689
Tlaxcala,NA,0.026881957306,-0.024286307086,0.027807819944,0.005060688149,0.007908058083,-0.027112637081,0.039310405585,0.020202406646,0.014823330973,-0.003965053761,0.010935151507,0.029451228533,0.009244729493,0.020420821474,0.016164682834,0.000512398929,-0.053125645538,0.036837829762,0.014630299979,0.008967913975
Veracruz de Ignacio de la Llave,NA,0.219691516664,0.051459226624,0.271400988551,0.163072638323,-0.054463409907,-0.082270219357,0.169507811807,0.092148279154,0.178753247374,-0.047649520104,0.001807659754,0.036242052749,-0.102359603439,-0.115025147153,-0.011971424999,0.096881008149,-0.340822357512,0.256656639837,0.060091619282,0.106786648834
Yucatán,NA,0.052534264404,0.061448174701,0.064816891493,0.030641927899,0.021344729526,-0.039642346842,0.052963687019,0.03097093225,0.049945613873,0.012982392381,0.047141116615,0.042271493567,0.061262701175,0.057968308821,0.064105846748,0.0042514291,-0.134116418489,0.113872724408,0.044621723413,0.082767869563
Zacatecas,NA,0.022349175645,0.020497140718,0.050842397639,0.028193403273,0.033436535861,0.038117808835,0.08942409107,0.000200045248,0.019572671704,-0.023837961669,0.069225920117,0.015287435031,0.008960762543,0.01681488196,0.032983848343,-0.035743821893,-0.037802440514,0.049611456097,0.014591120034,0.015654283481
Índice de volumen físico base 2018=100,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,74.03549634588,76.675188185143,78.295524479839,82.057635029976,83.762680991797,84.552841137943,79.230027852133,83.168817706451,86.033189268556,89.090129704994,89.849268143509,92.09888128905,94.587690891726,96.264251446368,98.066056832184,100.,99.607309557058,91.286080448737,96.807503829517,100.400019669723,103.708592775367
Aguascalientes,53.84646404718,55.623643820683,56.613494567851,61.08636627314,66.811321422895,66.62257413828,61.587128476399,67.061684685151,70.293353439314,74.028342288501,76.74193915769,84.676115356613,89.80590111668,93.739304971345,95.827133197947,100.,100.436700859135,93.656921217974,96.129256260005,95.933793137249,101.916418373839
Baja California,77.717776350192,79.341750754834,81.564452970878,87.923529478726,88.615396034934,86.105233815335,74.963366770516,78.066988695989,79.521744796551,82.658643962214,83.493357685529,86.577419563139,90.471721236921,94.296351967609,98.268556333627,100.,101.721562426815,95.548159187131,101.990937092482,104.598948594601,108.221146251371
Baja California Sur,55.626411132607,59.974268612217,63.757811442792,68.620231679014,74.502582772178,76.961062697086,72.833960383614,75.1111780192,78.516880329986,79.769914004587,78.657340553434,79.956234844424,84.537773633174,88.341633539588,92.506856166754,100.,96.33982101961,82.2949036585,92.65861376552,96.480424782612,98.124155246032
Campeche,174.795139510676,176.776146981684,174.609796687959,169.97099985941,159.017725388834,146.774760101761,133.531832640296,129.33827347063,126.049320731712,122.435875781922,122.663986551002,121.502460534904,124.038582183987,117.472502433691,105.504143870108,100.,95.992120356933,88.650842176997,86.71839374657,83.717262782852,90.029815846038
Coahuila de Zaragoza,75.111935229189,76.426628641434,77.765608153548,82.660860964822,84.880840831758,83.533270501416,67.055740578787,80.235495307821,85.382173436476,90.122698564235,89.480380044996,93.458815170026,92.924565276825,93.340420523741,97.46671695064,100.,98.688446058138,87.323999788327,95.396981066481,96.86955208752,96.228983262233
Colima,69.073252920124,69.68351350187,69.977496156679,74.666817599045,79.349383883431,80.943570609027,77.025857899537,81.657345047111,86.910834658348,88.161550532801,86.945382187659,87.830528287032,91.691438504975,91.480857670226,97.758056039516,100.,104.747116727582,96.316767341059,96.00730633726,96.515705768308,100.449774542214
Chiapas,88.989058383022,85.996398988707,87.752681798493,90.812625390762,91.820256856083,95.350811723298,94.013770578179,100.672721504475,102.169157112232,104.705086731689,101.98553782702,105.964753184341,102.941506130118,104.615149543236,101.734811379995,100.,98.674853081848,95.373395709294,100.01085887662,105.911910441047,107.52962909828
Chihuahua,65.560741536212,67.680458238404,69.394749469276,74.485039075553,77.852257069178,81.647094011096,73.396564707299,75.895070770897,77.584096416577,83.377680013342,85.846833058501,88.266102402204,94.206233822857,97.324073036257,99.761111388276,100.,101.5865619595,94.771976936409,99.149341144292,106.795026891136,110.188469661476
Ciudad de México,76.944943625468,80.180868300898,80.958576994859,84.83317631635,85.056167709974,86.164972630624,81.438646356149,84.602878479923,87.46446747475,90.191939117269,91.036030929279,92.354609511698,94.828775501492,96.665199916043,98.693849857,100.,99.603268887494,89.153838271894,94.626741377011,98.809998348947,103.018156507931
Durango,74.852089246812,78.592534290122,76.302881145016,78.119102979626,80.340021210478,84.578766063264,83.057664397983,84.625420673579,88.376655691869,92.581109791211,96.968732284322,99.662895082949,97.186923838428,98.835197943756,98.597132692069,100.,100.144080585549,92.640177452319,98.145559665571,97.245042898298,100.235454737328
Guanajuato,63.263079849903,64.976910320959,65.28979369608,68.668062652177,69.430811474899,71.220987370616,67.983579649027,72.525740975185,76.277354155992,79.633822435668,83.096032192472,87.362678868946,91.571263940144,95.015154093255,99.533106664148,100.,98.077873966202,90.973031387381,96.779884042486,99.140627649523,100.90866974455
Guerrero,79.926563689033,83.498965983231,85.779942976094,88.119331154875,90.400493458222,90.661872794565,88.786404850199,91.462216189679,91.792663795166,92.671374962449,94.297971556206,100.742099271789,98.822933290535,98.60847809244,97.081311113014,100.,99.780359254545,91.229439793948,95.528775474426,97.561148542675,98.699970503227
Hidalgo,79.192835053344,85.458710690425,84.433958176248,83.386293090524,85.79785802678,88.444311040121,84.703404179558,85.66918654392,87.557965803366,90.72704253683,90.705254107128,95.04836155681,98.872211740052,99.960783071955,99.469249780601,100.,97.763175580226,87.174690524897,93.629607358418,103.049079010603,105.814256547477
Jalisco,69.101890091055,71.081744079886,72.67533423646,76.389337200729,78.676435856898,80.266571064896,74.991289688477,79.448844833446,81.701181311826,84.861143829003,86.31229519948,89.366405437035,92.735709414369,95.567114223105,97.375440099628,100.,100.737883946666,92.590801667727,97.623024852229,102.475699935635,104.583225578778
México,68.342836186807,69.848267266237,72.089990347928,76.25399750228,78.247217685111,78.738987048821,73.839320614057,79.027149712592,82.567420586444,85.185999031811,85.719465153095,87.652682340202,89.472041460132,91.75303790831,96.538630748472,100.,98.477986589853,90.71192456779,96.423024083581,98.869966621817,101.412777060316
Michoacán de Ocampo,70.772413733709,72.582120921292,72.788809906423,76.553322740444,78.793985625638,80.748943854323,77.526142021356,79.288298774041,82.411228031172,83.916670123173,84.184660249015,88.415876576356,90.493085531916,93.318090456244,96.313699058695,100.,100.295325069764,94.861134368157,99.259912669401,102.912199445971,107.19317636285
Morelos,79.640419019886,82.035587331302,86.122942807905,84.921572301025,86.747884350665,84.607157666872,81.530719891966,85.086854983632,88.257360858264,90.797942108989,94.471900939362,95.030527538665,97.257504418285,100.409988710591,101.521785259673,100.,98.697651833167,89.659158384017,95.130351287422,95.190182296633,97.19977848272
Nayarit,71.952487461634,82.742627839944,87.123521431111,87.248782784433,85.88221970997,92.15048198823,86.610635820399,88.270007837438,90.663308378693,91.743781286528,93.140404543374,93.667645157565,94.652761524775,97.963760187324,99.584493303945,100.,100.902502067027,91.555918147602,100.135544643753,104.382697677207,104.48949764473
Nuevo León,67.556011711278,69.957535134918,71.704716388592,76.980803987662,80.271780783381,80.23225932961,73.914044673771,79.075084730296,81.656019341608,84.961121609613,84.418358931735,87.320671439524,90.525933026171,91.353417167322,94.778339515241,100.,100.513275815377,91.311759284255,97.73962475276,101.027860989259,104.50639359533
Oaxaca,94.596639751567,96.419085844964,98.251745696623,99.246215244703,98.777210478997,101.39906774003,100.660268644261,99.173105771165,100.73294618296,100.881630942941,103.825136898681,103.107188641677,104.761557014279,104.334552757155,93.495341364837,100.,95.877436425025,91.583601943301,100.589418020289,108.448517044512,116.743071633384
Puebla,67.872291286723,69.687255920667,73.121965450935,76.544990995726,79.40618012442,79.358292168998,73.497776579186,79.013175897717,83.268204273992,88.012065403533,86.591996101757,87.967916813131,90.123543038516,91.990529434232,98.330028161781,100.,100.86571385218,90.30718555231,93.563716952513,97.209656230279,100.361276477261
Querétaro,59.115568003056,62.951884033792,65.932777939301,69.867432163375,73.827793337153,73.881470686015,70.422134304598,76.944681658462,83.389785934898,86.16101290917,85.390128609172,88.678081563838,93.982416802326,94.335173224299,96.736417483585,100.,99.630419170786,90.553341421755,94.570756798997,96.376950207138,100.451350435151
Quintana Roo,52.084627019542,56.450780058647,58.369501159545,62.101060790249,67.287009645319,70.704562304704,64.412421786491,67.605795852372,71.091934546244,74.30435241161,76.636952836043,79.505328801467,84.435060109755,90.033613313139,94.640414413642,100.,99.845391962484,77.578023680125,88.127825618117,94.513741875588,107.008139941619
San Luis Potosí,57.56563557851,63.262612741227,65.76946886843,67.651998664917,68.591235671069,71.161642815221,66.761949179581,70.599675129948,74.598577760923,78.450817441572,80.720772064692,82.473559435225,86.057384116692,90.688378462811,96.853277988651,100.,95.804194721012,89.683498635358,92.541185024591,95.513531442767,103.191048256299
Sinaloa,70.363157331144,75.082866514713,74.658531223029,77.930669351636,81.811773251196,85.674537484041,82.823462230998,83.706943332708,85.746959090408,88.453541699356,88.251584412491,88.246851925365,91.940167764452,96.167942926956,98.292489121301,100.,98.982101407376,91.783165694348,96.156054670675,97.855391994188,98.099249813243
Sonora,65.313339053139,68.199726505027,71.505381119635,77.450547264656,78.550052041513,79.692027085633,73.420208928644,76.173735748391,82.950436070753,87.121913927436,90.71929179941,92.314473881889,97.178513387826,101.270505910515,100.320120858961,100.,100.128597098527,93.497005749559,97.293482138554,101.017746709021,105.795441635972
Tabasco,83.992146791987,87.119948087778,93.945046841344,101.391058183359,103.987003071155,108.21248066943,110.97275382357,116.273539027738,120.6759484504,126.212965013855,126.641999383967,126.152052976762,117.328425281549,112.991557584025,106.52841701122,100.,94.551283836118,98.557009448852,115.660719486858,135.231600929034,139.194356454383
Tamaulipas,79.541906489376,83.19970551743,87.198202928111,89.762755795439,91.647795126695,93.748446783274,86.078988092867,87.779582015842,88.437812753731,92.422064854485,92.898917961286,93.929596847826,97.391524742553,96.976626283341,96.865965977377,100.,102.830231196235,94.441474438601,99.035098906153,102.266984626381,102.202845285419
Tlaxcala,75.573926823885,78.830502992567,75.783473247866,79.34605009786,80.025549271815,81.109428219225,77.358313664407,82.454645453787,85.203957262739,87.290715753546,86.712700855311,88.320381227747,92.758696326169,94.189530131783,97.406141613197,100.,100.083843340673,91.42508156809,96.927567714914,99.245083036893,100.718364052305
Veracruz de Ignacio de la Llave,86.590723866483,90.408869008746,91.335095631113,96.323337658002,99.464564124045,98.393650232342,96.760711032295,99.913382238796,101.712447473331,105.322546517379,104.32602363285,104.364150435564,105.147699681932,102.874893655281,100.275590165854,100.,102.274247906652,94.304979758335,99.804897809061,101.170493328805,103.687300309329
Yucatán,65.111768557024,67.689435526659,70.811975423071,74.175303985644,75.841703924716,77.026613977146,74.8051886406,77.586260289365,79.293360298145,82.141147517184,82.907676324596,85.714780743763,88.294937585181,92.135323991352,95.833604316709,100.,100.281759844885,91.428212466606,98.317406711175,101.180262821742,106.687575485803
Zacatecas,62.383694030655,64.135251148009,65.798935516869,70.012850444257,72.461853361933,75.42664822199,78.838411857971,86.338513450342,86.356125567654,88.138664143758,85.890533676534,92.474780211184,93.965210892911,94.862438019076,96.575928373326,100.,96.216238182134,92.230269781917,97.024394599558,98.519667475134,100.183424089403
Millones de pesos,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,8259533.132000002,9248389.777,9999598.965,11120115.788,12046753.145000001,12927761.290999997,12749117.92,13968149.506999997,15268436.668999998,16529124.039,16954005.665999994,18137650.624,19228614.685,20758790.518000003,22536210.261000007,24176670.379999995,25121823.321999997,24086758.148000006,26690033.388999995,29516052.297000002,31855566.27899999
Aguascalientes,85708.244,94596.56800000001,100985.77500000001,113517.313,129736.35,134044.05599999998,133634.071,148738.08800000005,159749.07799999998,177238.499,188339.208,212765.09199999998,240116.38700000002,273672.85599999997,296511.59400000004,327926.30700000003,342708.599,348317.30000000005,370077.26999999996,383282.123,423484.08100000006
Baja California,340875.41199999995,366521.8819999999,391405.43499999994,439900.34900000005,464185.31999999995,468770.551,443726.419,465345.5649999999,483756.803,528590.1560000001,538446.796,590350.789,673034.2189999999,756993.3699999999,823482.7069999999,878816.8679999999,935624.992,922189.8230000001,1026125.913,1142603.193,1249622.6109999998
Baja California Sur,50335.238,57905.59,64577.058999999994,72003.55200000001,82198.57299999999,90043.59700000001,91381.152,96327.9,103431.77500000001,109111.435,111282.2,119365.52699999999,132961.394,148321.323,164180.136,184618.10300000003,185063.324,163843.451,194798.095,219669.42199999996,235778.00300000003
Campeche,316831.21800000005,437084.48300000007,524829.514,587855.443,635062.682,720109.322,514834.019,591706.916,757181.981,743570.9599999998,679681.201,683220.0940000002,461914.65900000004,438869.6390000001,516198.928,564591.056,637425.798,460883.756,481706.56499999994,489033.19800000003,598034.988
Coahuila de Zaragoza,293986.4440000001,324394.097,341880.0239999999,384904.493,418996.285,444992.4170000001,399084.618,486883.74100000004,555969.0630000001,614645.542,611076.4849999999,671619.2309999999,737668.1830000001,808734.228,891469.1870000002,966054.662,1003299.097,958515.004,1082866.3900000001,1149719.362,1179582.314
Colima,49527.03500000001,52500.28799999999,55519.615,61473.882999999994,69557.94999999998,74484.889,76413.974,83940.999,92708.856,98531.344,101858.269,107943.732,117089.827,124092.95099999999,140155.548,153808.394,169134.45599999998,161402.15500000003,169121.13500000004,183325.85900000003,205511.106
Chiapas,151381.10700000002,157664.326,169422.36800000002,186899.76600000003,201085.333,222198.13600000003,227059.698,252291.045,271284.423,293224.54500000004,293525.5790000001,314202.60799999995,317079.267,342482.895,341320.647,353600.11299999995,363650.5129999999,368523.145,406452.946,462006.038,497691.92
Chihuahua,273946.992,299020.786,321149.86,361417.35300000006,402086.85500000004,431946.568,414553.03599999996,443251.501,464847.209,532863.147,546465.504,594703.6879999998,695318.9100000001,760954.487,822681.8409999999,853322.8040000001,897955.9800000002,878591.4730000002,973958.69,1118360.5760000001,1233960.075
Ciudad de México,1493160.637,1649260.74,1782574.2179999999,1940981.9240000003,2057831.4379999996,2168737.985000001,2207551.063,2359373.9039999996,2506943.0600000005,2676523.7520000003,2814626.3989999997,2959379.635,3128313.267,3310454.073,3498642.379,3694574.8750000005,3787883.3260000004,3555530.591,3885509.879000001,4293744.112,4717467.387999999
Durango,108769.231,121773.77100000001,125325.85499999998,133468.487,145918.639,163085.40899999999,172552.976,180300.51799999998,206419.902,226107.85199999998,237429.038,251624.401,260348.82299999997,283350.815,298078.74100000004,308981.254,324976.52400000003,321473.08400000003,363794.04099999997,384766.9239999999,411812.83999999997
