Concepto,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 R,2023 P
Millones de pesos a precios de 2018,,,,,,,,,,,,,,,,,,,,,
"a  PIBPM - Producto interno bruto, a precios de mercado",,,,,,,,,,,,,,,,,,,,,
Guerrero,254042.53999999995,265397.24,272647.21,280082.837,287333.39599999995,288164.177,282203.09699999995,290708.028,291758.33900000004,294551.278,299721.33300000004,320203.6670000001,314103.69499999995,313422.06000000006,308568.037,317844.94200000004,317146.825,289968.16,303633.381,310093.176,313712.86399999994
Hidalgo,331525.317,357756.18000000005,353466.25399999996,349080.409,359175.954,370254.812,354594.237,358637.29600000003,366544.30100000004,379811.021,379719.80799999996,397901.37799999997,413909.17900000006,418466.27,416408.562,418630.444,409266.41599999997,364939.79400000005,391962.04099999997,431394.8169999999,442970.692
Jalisco,1212171.197,1246901.39,1274855.822,1340006.1010000003,1380125.9170000001,1408019.743,1315481.838,1393675.357,1433185.382,1488616.7970000003,1514072.5969999998,1567647.1730000002,1626750.8130000003,1676418.7359999998,1708140.018,1754179.5100000002,1767123.3190000001,1624208.871,1712483.099,1797607.7309999997,1834577.5140000002
México,1533475.1709999996,1567254.003,1617553.74,1710985.648,1755709.4820000003,1766743.7930000003,1656805.1770000001,1773209.581,1852646.107,1911401.7169999997,1923371.6189999995,1966749.107,2007571.8499999999,2058752.8020000001,2166131.8370000003,2243797.9699999997,2209647.0640000002,2035392.322,2163537.8570000003,2218442.304,2275497.833
Michoacán de Ocampo,448524.814,459993.952,461303.8569999999,485161.70399999997,499362.052,511751.72799999994,491327.01,502494.7940000001,522286.5630000001,531827.401,533525.8060000001,560341.417,573505.865,591409.519,610394.385,633756.559,635628.2010000001,601188.661,629066.207,652212.814,679343.786
Morelos,217613.142,224157.81,235326.28799999997,232043.608,237033.90699999995,231184.487,222778.28699999998,232495.23400000003,241158.46999999997,248100.47099999996,258139.365,259665.78199999995,265750.876,274364.869,277402.793,273244.597,269686.00100000005,244988.80599999998,259938.54499999998,260102.03,265593.143
Nayarit,112071.42300000001,128877.87999999999,135701.452,135896.55599999998,133768.03100000002,143531.32200000001,134902.594,137487.19100000002,141214.937,142897.855,145073.201,145894.41799999998,147428.81100000002,152585.941,155110.355,155757.53799999997,157163.25299999997,142605.244,155968.659,162583.92,162750.26899999997
Nuevo León,1289662.1219999997,1335507.8390000002,1368861.9909999997,1469583.8980000003,1532409.515,1531655.0399999998,1411038.6519999998,1509564.2710000002,1558834.9949999999,1621930.2710000002,1611568.7880000002,1666974.7010000004,1728163.992,1743960.883,1809343.556,1909026.435,1918825.0059999998,1743165.623,1865875.274,1928648.573,1995054.68
Oaxaca,362456.14999999997,369439.028,376461.0410000001,380271.44700000004,378474.4100000001,388520.309,385689.5290000001,379991.32100000005,385968.00000000006,386537.7,397816.02699999994,395065.139,401404.011,399767.90299999993,358236.419,383159.64599999995,367363.646,350911.40499999997,385418.05799999996,415530.9540000001,447312.34
Puebla,576613.1250000001,592032.2660000001,621212.0470000001,650292.566,674599.97,674193.135,624404.773,671261.179,707410.0279999999,747711.7849999998,735647.5009999999,747336.718,765649.97,781511.0650000001,835368.657,849556.0030000001,856910.7270000002,767210.1159999999,794876.174,825850.47,852625.2490000001
Querétaro,361413.51800000004,384867.51699999993,403091.74100000004,427146.9479999999,451359.31899999996,451687.48500000004,430538.218,470414.96900000004,509818.25800000003,526760.6460000001,522047.708,542149.1919999999,574578.187,576734.826,591415.259,611367.7499999999,609108.252,553613.926,578175.108,589217.5920000002,614127.1610000001
Quintana Roo,196536.479,213011.74999999997,220251.865,234332.55699999997,253901.25100000002,266797.067,243054.262,255104.161,268258.78,280380.539,289182.389,300005.938,318607.819,339733.43700000003,357116.77099999995,377340.667,376757.26800000004,292733.43200000003,332542.12499999994,356638.78400000004,403785.229
San Luis Potosí,321098.785,352876.293,366859.43499999994,377360.11000000004,382599.136,396936.76300000004,372395.45000000007,393802.13,416107.84700000007,437595.484,450257.199,460034.17600000004,480024.605,505856.104,540243.6640000001,557795.9519999999,534391.9199999999,500250.92500000005,516190.9840000001,532770.6120000001,575595.49
